date,time,Open,High,Low,Close,1004,ema4,ema8,ema16,rsi
2018.08.31,20:45:00,143.858,143.893,143.845,143.889,1485,143.87498341452238,143.86800912322056,143.87000863023258,67.29245136505897
2018.08.31,21:00:00,143.89,143.895,143.816,143.816,1746,143.85139004871343,143.85645154028265,143.86365467373463,20.436136239586173
2018.08.31,21:15:00,143.815,143.837,143.772,143.8,1324,143.83083402922807,143.84390675355317,143.85616588858937,15.657100823838794
2018.08.31,21:30:00,143.799,143.842,143.777,143.841,1212,143.83490041753686,143.84326080831914,143.8543816664024,61.63603093958481
2018.08.31,21:45:00,143.84,143.91,143.81,143.815,2745,143.8269402505221,143.83698062869266,143.84974852917858,36.44082118595948
2018.08.31,22:00:00,143.814,143.895,143.814,143.88,2876,143.84816415031327,143.84654048898318,143.8533075257458,79.11895908844865
2018.08.31,22:15:00,143.879,143.923,143.84,143.851,2671,143.84929849018795,143.84753149143137,143.85303605212866,49.475366243294786
2018.08.31,22:30:00,143.852,143.998,143.85,143.99,2196,143.90557909411277,143.87919116000216,143.86914945776059,88.99647077998651
2018.08.31,22:45:00,143.99,144.052,143.953,144.008,2183,143.94654745646767,143.90781534666834,143.8854848156711,90.85012513132241
2018.08.31,23:00:00,144.01,144.029,143.958,143.993,1287,143.9651284738806,143.92674526963094,143.8981336608863,70.93417516335636
2018.08.31,23:15:00,143.992,144.039,143.973,144.022,731,143.98787708432837,143.94791298749072,143.91270617137025,84.26868836589088
2018.08.31,23:30:00,144.022,144.031,143.963,143.966,942,143.97912625059703,143.9519323236039,143.918976033562,30.40216035344325
2018.08.31,23:45:00,143.967,143.987,143.93,143.976,823,143.97787575035824,143.95728069613637,143.92568473549588,43.33780587337708
2018.09.03,00:00:00,143.397,143.522,143.356,143.496,172,143.78512545021493,143.85477387477272,143.87513359014343,2.299963476087708
2018.09.03,00:15:00,143.487,143.574,143.467,143.507,329,143.67387527012897,143.7774907914899,143.8318237560089,6.3638591376934786
2018.09.03,00:30:00,143.508,143.572,143.473,143.508,1000,143.6075251620774,143.71760394893658,143.79372684353726,7.066699180188524
2018.09.03,00:45:00,143.509,143.536,143.49,143.491,236,143.56091509724644,143.66724751583956,143.75811192076816,5.629909181694758
2018.09.03,01:00:00,143.49,143.693,143.487,143.622,3678,143.58534905834784,143.65719251231965,143.74209875361896,77.16942160567991
2018.09.03,01:15:00,143.622,143.69,143.617,143.652,2430,143.6120094350087,143.65603862069307,143.731498900252,83.0534308433414
2018.09.03,01:30:00,143.654,143.717,143.633,143.643,932,143.6244056610052,143.65314114942794,143.72108726492823,71.9304661891187
2018.09.03,01:45:00,143.643,143.711,143.643,143.707,706,143.65744339660313,143.6651097828884,143.71942993964257,90.33656821874516
2018.09.03,02:00:00,143.707,143.714,143.664,143.669,785,143.6620660379619,143.66597427557988,143.71349700556698,50.78848180165279
2018.09.03,02:15:00,143.668,143.673,143.626,143.654,387,143.65883962277712,143.66331332545101,143.7064973578532,37.7435393507058
2018.09.03,02:30:00,143.654,143.676,143.598,143.598,733,143.63450377366627,143.64879925312857,143.69373296281165,12.935608095920015
2018.09.03,02:45:00,143.597,143.642,143.59,143.611,870,143.62510226419977,143.6403994191,143.68399967306908,33.292372217223374
2018.09.03,03:00:00,143.611,143.63,143.52,143.594,982,143.61266135851986,143.63008843707777,143.67341147623742,20.659112966877764
2018.09.03,03:15:00,143.594,143.634,143.557,143.61,819,143.6115968151119,143.62562433994938,143.66595130256243,53.717805223108385
2018.09.03,03:30:00,143.612,143.614,143.443,143.468,1400,143.55415808906713,143.59059670884952,143.64266291402566,6.398152317865652
2018.09.03,03:45:00,143.47,143.504,143.387,143.437,1304,143.50729485344027,143.55646410688297,143.61846727708146,4.620887834490497
2018.09.03,04:00:00,143.438,143.464,143.346,143.358,1300,143.44757691206416,143.5123609720201,143.58782406801305,1.9128007816150743
2018.09.03,04:15:00,143.358,143.402,143.304,143.399,1577,143.4281461472385,143.48716964490453,143.5656094717762,39.01220243478847
2018.09.03,04:30:00,143.398,143.426,143.338,143.42,1801,143.4248876883431,143.47224305714798,143.54847894568488,56.04336922029198
2018.09.03,04:45:00,143.42,143.506,143.396,143.479,1260,143.44653261300584,143.47374460000398,143.54030495207488,82.89058672342045
2018.09.03,05:00:00,143.479,143.488,143.342,143.378,1737,143.4191195678035,143.45246802222533,143.52121025183078,26.815909873896583
2018.09.03,05:15:00,143.378,143.43,143.376,143.392,1198,143.4082717406821,143.43903068395304,143.50600904573304,38.37346499184448
2018.09.03,05:30:00,143.392,143.403,143.319,143.362,1426,143.38976304440925,143.42191275418568,143.48906680505857,22.884679934595187
2018.09.03,05:45:00,143.363,143.378,143.317,143.337,1116,143.36865782664555,143.40304325325553,143.47117659269873,13.681108677753087
2018.09.03,06:00:00,143.336,143.383,143.325,143.376,749,143.3715946959873,143.397033641421,143.45997934649887,61.717306109692295
2018.09.03,06:15:00,143.378,143.378,143.324,143.331,755,143.3553568175924,143.38235949888298,143.4448053057343,27.01894168748595
2018.09.03,06:30:00,143.331,143.363,143.3,143.347,1081,143.35201409055543,143.37450183246455,143.43329879917732,47.86311196892473
2018.09.03,06:45:00,143.348,143.364,143.306,143.359,1028,143.35480845433327,143.37105698080575,143.42455776397998,63.50020802152581
2018.09.03,07:00:00,143.357,143.359,143.327,143.346,854,143.35128507259998,143.3654887628489,143.4153156741,38.48882337508027
2018.09.03,07:15:00,143.347,143.372,143.327,143.362,575,143.35557104356,143.36471348221582,143.4090432418529,68.76888316056343
2018.09.03,07:30:00,143.361,143.431,143.355,143.404,1150,143.374942626136,143.37344381950118,143.40844991928196,91.28696590467517
2018.09.03,07:45:00,143.404,143.416,143.388,143.411,1048,143.3893655756816,143.3817896373898,143.4087499287782,92.97527502541244
2018.09.03,08:00:00,143.409,143.52,143.398,143.491,1116,143.43001934540897,143.40605860685872,143.41842640774547,98.70607098830071
2018.09.03,08:15:00,143.491,143.492,143.407,143.446,965,143.43641160724536,143.41493447200122,143.42167035977542,51.46894824083113
2018.09.03,08:30:00,143.446,143.447,143.37,143.372,1468,143.41064696434722,143.40539347822317,143.41582678803712,19.99615559451159
2018.09.03,08:45:00,143.373,143.417,143.363,143.395,1471,143.40438817860831,143.4030838163958,143.4133765776798,42.03107055696594
2018.09.03,09:00:00,143.394,143.394,143.329,143.358,1485,143.385832907165,143.39306519053005,143.40686168618805,22.28412347903535
2018.09.03,09:15:00,143.357,143.357,143.166,143.184,1904,143.305099744299,143.34660625930115,143.38064266428358,4.112351653007057
2018.09.03,09:30:00,143.183,143.215,143.148,143.185,1826,143.2570598465794,143.31069375723422,143.35762588025023,5.002768594471718
2018.09.03,09:45:00,143.185,143.265,143.17,143.25,1287,143.25423590794765,143.2972062556266,143.3449640119855,56.96001954605134
2018.09.03,10:00:00,143.249,143.344,143.182,143.255,2440,143.25454154476859,143.2878270877096,143.33438001057544,60.30048553814908
